Unnamed: 0,city_edge_id,is_bike,GSV1,GSV2,SAT,mismatch
1726,25430003_Philadelphia,2,"25430003_Philadelphia_MID921_GSV1_39.9361042286038,-75.1574804060702.jpg","25430003_Philadelphia_MID921_GSV2_39.9361042286038,-75.1574804060702.jpg","25430003_Philadelphia_SAT921_39.9361042286038,-75.1574804060702.jpg",N
1456,168354271_Boston,2,"168354271_Boston_MID4_GSV1_42.3242911791763,-71.1122684200716.jpg","168354271_Boston_MID4_GSV2_42.3242911791763,-71.1122684200716.jpg","168354271_Boston_SAT4_42.3242911791763,-71.1122684200716.jpg",N
1643,578810329_LosAngeles,2,"578810329_LosAngeles_MID3_GSV1_33.7677159642906,-118.171110426064.jpg","578810329_LosAngeles_MID3_GSV2_33.7677159642906,-118.171110426064.jpg","578810329_LosAngeles_SAT3_33.7677159642906,-118.171110426064.jpg",N
1642,578810329_LosAngeles,2,"578810329_LosAngeles_MID2_GSV1_33.7678562112219,-118.172184342519.jpg","578810329_LosAngeles_MID2_GSV2_33.7678562112219,-118.172184342519.jpg","578810329_LosAngeles_SAT2_33.7678562112219,-118.172184342519.jpg",N
1622,52093176_LosAngeles,2,"52093176_LosAngeles_MID2_GSV1_33.7671493063059,-118.166837705523.jpg","52093176_LosAngeles_MID2_GSV2_33.7671493063059,-118.166837705523.jpg","52093176_LosAngeles_SAT2_33.7671493063059,-118.166837705523.jpg",N
1234,346778_StLouis,0,"346778_StLouis_MID_GSV1_38.8614276957046,-90.7263554001071.jpg","346778_StLouis_MID_GSV2_38.8614276957046,-90.7263554001071.jpg","346778_StLouis_MID_SAT_38.8614276957046,-90.7263554001071.jpg",N
281,65676_LosAngeles,0,"65676_LosAngeles_MID_GSV1_33.880151700388,-118.401810850242.jpg","65676_LosAngeles_MID_GSV2_33.880151700388,-118.401810850242.jpg","65676_LosAngeles_MID_SAT_33.880151700388,-118.401810850242.jpg",N
1540,384329383_LosAngeles,2,"384329383_LosAngeles_MID2_GSV1_34.1017268741552,-118.31103084969.jpg","384329383_LosAngeles_MID2_GSV2_34.1017268741552,-118.31103084969.jpg","384329383_LosAngeles_SAT2_34.1017268741552,-118.31103084969.jpg",Y
1623,52093176_LosAngeles,2,"52093176_LosAngeles_MID4_GSV1_33.7667131831453,-118.164728611932.jpg","52093176_LosAngeles_MID4_GSV2_33.7667131831453,-118.164728611932.jpg","52093176_LosAngeles_SAT4_33.7667131831453,-118.164728611932.jpg",N
1489,257835680_Seattle,1,"257835680_Seattle_MID2_GSV1_47.6758000383229,-122.310620879327.jpg","257835680_Seattle_MID2_GSV2_47.6758000383229,-122.310620879327.jpg","257835680_Seattle_SAT2_47.6758000383229,-122.310620879327.jpg",N
991,223940_Atlanta,0,"223940_Atlanta_MID_GSV1_33.7703012774141,-84.4042976058828.jpg","223940_Atlanta_MID_GSV2_33.7703012774141,-84.4042976058828.jpg","223940_Atlanta_MID_SAT_33.7703012774141,-84.4042976058828.jpg",N
674,152614_Chicago,0,"152614_Chicago_MID_GSV1_41.8579055516425,-87.791705750111.jpg","152614_Chicago_MID_GSV2_41.8579055516425,-87.791705750111.jpg","152614_Chicago_MID_SAT_41.8579055516425,-87.791705750111.jpg",N
436,100986_Phoenix,0,"100986_Phoenix_MID_GSV1_33.632804664209,-112.342120013452.jpg","100986_Phoenix_MID_GSV2_33.632804664209,-112.342120013452.jpg","100986_Phoenix_MID_SAT_33.632804664209,-112.342120013452.jpg",N
1480,22598235_Minneapolis,2,"22598235_Minneapolis_MID1_GSV1_44.9919786,-93.2936256.jpg","22598235_Minneapolis_MID1_GSV2_44.9919786,-93.2936256.jpg","22598235_Minneapolis_SAT1_44.9919786,-93.2936256.jpg",N
1698,929330219_NewYork,2,"929330219_NewYork_MID2_GSV1_40.8723335109236,-73.8671340707641.jpg","929330219_NewYork_MID2_GSV2_40.8723335109236,-73.8671340707641.jpg","929330219_NewYork_SAT2_40.8723335109236,-73.8671340707641.jpg",N
246,57255_Denver,1,"57255_Denver_MID_GSV1_39.7473727209262,-105.13245164645.jpg","57255_Denver_MID_GSV2_39.7473727209262,-105.13245164645.jpg","57255_Denver_MID_SAT_39.7473727209262,-105.13245164645.jpg",N
1301,366153_Dallas,0,"366153_Dallas_MID_GSV1_32.8143673278785,-96.7837398034386.jpg","366153_Dallas_MID_GSV2_32.8143673278785,-96.7837398034386.jpg","366153_Dallas_MID_SAT_32.8143673278785,-96.7837398034386.jpg",N
1646,59525607_Chicago,2,"59525607_Chicago_MID1_GSV1_41.8765755,-87.765347.jpg","59525607_Chicago_MID1_GSV2_41.8765755,-87.765347.jpg","59525607_Chicago_SAT1_41.8765755,-87.765347.jpg",N
1187,263858_Houston,0,"263858_Houston_MID_GSV1_29.9433243420259,-95.3235602280743.jpg","263858_Houston_MID_GSV2_29.9433243420259,-95.3235602280743.jpg","263858_Houston_MID_SAT_29.9433243420259,-95.3235602280743.jpg",N
915,209058_Miami,0,"209058_Miami_MID_GSV1_25.8255024659678,-80.1876061266851.jpg","209058_Miami_MID_GSV2_25.8255024659678,-80.1876061266851.jpg","209058_Miami_MID_SAT_25.8255024659678,-80.1876061266851.jpg",N
234,54057_Miami,0,"54057_Miami_MID_GSV1_25.8604206,-80.2666050001862.jpg","54057_Miami_MID_GSV2_25.8604206,-80.2666050001862.jpg","54057_Miami_MID_SAT_25.8604206,-80.2666050001862.jpg",N
459,104930_LosAngeles,1,"104930_LosAngeles_MID_GSV1_34.0212126438379,-118.37788940362.jpg","104930_LosAngeles_MID_GSV2_34.0212126438379,-118.37788940362.jpg","104930_LosAngeles_MID_SAT_34.0212126438379,-118.37788940362.jpg",N
353,80881_LosAngeles,0,"80881_LosAngeles_MID_GSV1_33.782604900006,-118.164937700978.jpg","80881_LosAngeles_MID_GSV2_33.782604900006,-118.164937700978.jpg","80881_LosAngeles_MID_SAT_33.782604900006,-118.164937700978.jpg",N
1414,1300118385_Chicago,2,"1300118385_Chicago_MID2_GSV1_41.8868422943593,-87.7491948343477.jpg","1300118385_Chicago_MID2_GSV2_41.8868422943593,-87.7491948343477.jpg","1300118385_Chicago_SAT2_41.8868422943593,-87.7491948343477.jpg",N
214,49951_SanDiego,1,"49951_SanDiego_MID_GSV1_32.788993762585,-117.206020428243.jpg","49951_SanDiego_MID_GSV2_32.788993762585,-117.206020428243.jpg","49951_SanDiego_MID_SAT_32.788993762585,-117.206020428243.jpg",N
897,205584_Houston,0,"205584_Houston_MID_GSV1_29.5647074676531,-95.2687463168888.jpg","205584_Houston_MID_GSV2_29.5647074676531,-95.2687463168888.jpg","205584_Houston_MID_SAT_29.5647074676531,-95.2687463168888.jpg",N
1662,630677037_NewYork,2,"630677037_NewYork_MID2_GSV1_40.6940741577875,-73.9872024598963.jpg","630677037_NewYork_MID2_GSV2_40.6940741577875,-73.9872024598963.jpg","630677037_NewYork_SAT2_40.6940741577875,-73.9872024598963.jpg",N
508,114915_Portland,1,"114915_Portland_MID_GSV1_45.4527908000244,-122.722996250013.jpg","114915_Portland_MID_GSV2_45.4527908000244,-122.722996250013.jpg","114915_Portland_MID_SAT_45.4527908000244,-122.722996250013.jpg",N
1693,843005451_Chicago,2,"843005451_Chicago_MID2_GSV1_41.890759857673,-87.6805520059911.jpg","843005451_Chicago_MID2_GSV2_41.890759857673,-87.6805520059911.jpg","843005451_Chicago_SAT2_41.890759857673,-87.6805520059911.jpg",Y
886,202755_Houston,0,"202755_Houston_MID_GSV1_29.937762663321,-95.3561545356713.jpg","202755_Houston_MID_GSV2_29.937762663321,-95.3561545356713.jpg","202755_Houston_MID_SAT_29.937762663321,-95.3561545356713.jpg",N
1910,9801_Atlanta,2,9801_Atlanta_MID_GSV1_33.7755_-84.388813_179.jpg,9801_Atlanta_MID_GSV2_33.7755_-84.388813_359.jpg,9801_Atlanta_SAT_33.7755_-84.3888.jpg,N
1568,421844018_Chicago,2,"421844018_Chicago_MID4_GSV1_41.9148752469066,-87.6843794813692.jpg","421844018_Chicago_MID4_GSV2_41.9148752469066,-87.6843794813692.jpg","421844018_Chicago_SAT4_41.9148752469066,-87.6843794813692.jpg",Y
1870,9911_Atlanta,1,9911_Atlanta_MID_GSV1_33.837024_-84.371856_91.jpg,9911_Atlanta_MID_GSV2_33.837024_-84.371856_271.jpg,9911_Atlanta_SAT_33.837_-84.3719.jpg,N
24,4380_SanJose,1,"4380_SanJose_MID_GSV1_37.3883385175451,-122.006711207325.jpg","4380_SanJose_MID_GSV2_37.3883385175451,-122.006711207325.jpg","4380_SanJose_MID_SAT_37.3883385175451,-122.006711207325.jpg",N
283,65995_LosAngeles,0,"65995_LosAngeles_MID_GSV1_34.1495836658088,-118.133145153927.jpg","65995_LosAngeles_MID_GSV2_34.1495836658088,-118.133145153927.jpg","65995_LosAngeles_MID_SAT_34.1495836658088,-118.133145153927.jpg",N
1571,421844018_Chicago,2,"421844018_Chicago_MID7_GSV1_41.9130933292003,-87.6816576965054.jpg","421844018_Chicago_MID7_GSV2_41.9130933292003,-87.6816576965054.jpg","421844018_Chicago_SAT7_41.9130933292003,-87.6816576965054.jpg",Y
575,130149_SaltLake,0,"130149_SaltLake_MID_GSV1_40.6109197095478,-111.896222390947.jpg","130149_SaltLake_MID_GSV2_40.6109197095478,-111.896222390947.jpg","130149_SaltLake_MID_SAT_40.6109197095478,-111.896222390947.jpg",N
1649,59525607_Chicago,1,"59525607_Chicago_MID4_GSV1_41.8770398009184,-87.7688507554529.jpg","59525607_Chicago_MID4_GSV2_41.8770398009184,-87.7688507554529.jpg","59525607_Chicago_SAT4_41.8770398009184,-87.7688507554529.jpg",N
1716,22598235_Minneapolis,2,"22598235_Minneapolis_MID913_GSV1_44.9919494388974,-93.2890547348344.jpg","22598235_Minneapolis_MID913_GSV2_44.9919494388974,-93.2890547348344.jpg","22598235_Minneapolis_SAT913_44.9919494388974,-93.2890547348344.jpg",N
1701,98669895_Houston,2,"98669895_Houston_MID5_GSV1_29.7340243714809,-95.3411760954183.jpg","98669895_Houston_MID5_GSV2_29.7340243714809,-95.3411760954183.jpg","98669895_Houston_SAT5_29.7340243714809,-95.3411760954183.jpg",N
1665,649545811_Sacramento,2,"649545811_Sacramento_MID15_GSV1_38.5507936530639,-121.552498746806.jpg","649545811_Sacramento_MID15_GSV2_38.5507936530639,-121.552498746806.jpg","649545811_Sacramento_SAT15_38.5507936530639,-121.552498746806.jpg",N
1611,488110709_Chicago,2,"488110709_Chicago_MID3_GSV1_41.8951676221236,-87.6987950093099.jpg","488110709_Chicago_MID3_GSV2_41.8951676221236,-87.6987950093099.jpg","488110709_Chicago_SAT3_41.8951676221236,-87.6987950093099.jpg",Y
830,187466_StLouis,0,"187466_StLouis_MID_GSV1_38.9115670000263,-90.1458484997159.jpg","187466_StLouis_MID_GSV2_38.9115670000263,-90.1458484997159.jpg","187466_StLouis_MID_SAT_38.9115670000263,-90.1458484997159.jpg",N
317,72600_LosAngeles,0,"72600_LosAngeles_MID_GSV1_33.9658990012285,-118.414194300816.jpg","72600_LosAngeles_MID_GSV2_33.9658990012285,-118.414194300816.jpg","72600_LosAngeles_MID_SAT_33.9658990012285,-118.414194300816.jpg",N
301,68878_Sacramento,1,"68878_Sacramento_MID_GSV1_38.5967379244525,-121.268540900674.jpg","68878_Sacramento_MID_GSV2_38.5967379244525,-121.268540900674.jpg","68878_Sacramento_MID_SAT_38.5967379244525,-121.268540900674.jpg",N
1634,531556743_LosAngeles,1,"531556743_LosAngeles_MID2_GSV1_34.2245084609702,-118.432748823749.jpg","531556743_LosAngeles_MID2_GSV2_34.2245084609702,-118.432748823749.jpg","531556743_LosAngeles_SAT2_34.2245084609702,-118.432748823749.jpg",N
1055,237300_SanDiego,1,"237300_SanDiego_MID_GSV1_32.7656684254287,-117.196668945873.jpg","237300_SanDiego_MID_GSV2_32.7656684254287,-117.196668945873.jpg","237300_SanDiego_MID_SAT_32.7656684254287,-117.196668945873.jpg",N
1673,661300094_Sacramento,2,"661300094_Sacramento_MID2_GSV1_38.5509175164619,-121.548425859025.jpg","661300094_Sacramento_MID2_GSV2_38.5509175164619,-121.548425859025.jpg","661300094_Sacramento_SAT2_38.5509175164619,-121.548425859025.jpg",N
36,7841_LosAngeles,0,"7841_LosAngeles_MID_GSV1_34.2614161958148,-118.297935403156.jpg","7841_LosAngeles_MID_GSV2_34.2614161958148,-118.297935403156.jpg","7841_LosAngeles_MID_SAT_34.2614161958148,-118.297935403156.jpg",N
153,36894_NewYork,0,"36894_NewYork_MID_GSV1_40.8901164522692,-73.9028726160837.jpg","36894_NewYork_MID_GSV2_40.8901164522692,-73.9028726160837.jpg","36894_NewYork_MID_SAT_40.8901164522692,-73.9028726160837.jpg",N
1007,227241_NewYork,0,"227241_NewYork_MID_GSV1_40.877201849993,-73.8616319003003.jpg","227241_NewYork_MID_GSV2_40.877201849993,-73.8616319003003.jpg","227241_NewYork_MID_SAT_40.877201849993,-73.8616319003003.jpg",N
34,7531_Seattle,0,"7531_Seattle_MID_GSV1_47.6440880984679,-122.40096053857.jpg","7531_Seattle_MID_GSV2_47.6440880984679,-122.40096053857.jpg","7531_Seattle_MID_SAT_47.6440880984679,-122.40096053857.jpg",N
1768,22561055_Minneapolis,1,"22561055_Minneapolis_MID919_GSV1_44.9967706034756,-93.2879870693951.jpg","22561055_Minneapolis_MID919_GSV2_44.9967706034756,-93.2879870693951.jpg","22561055_Minneapolis_SAT919_44.9967706034756,-93.2879870693951.jpg",N
1596,436175592_Seattle,1,"436175592_Seattle_MID2_GSV1_47.5382985731395,-122.289797474963.jpg","436175592_Seattle_MID2_GSV2_47.5382985731395,-122.289797474963.jpg","436175592_Seattle_SAT2_47.5382985731395,-122.289797474963.jpg",N
1207,341877_Dallas,0,"341877_Dallas_MID_GSV1_32.7205218896618,-96.989975200478.jpg","341877_Dallas_MID_GSV2_32.7205218896618,-96.989975200478.jpg","341877_Dallas_MID_SAT_32.7205218896618,-96.989975200478.jpg",N
1624,52093176_LosAngeles,2,"52093176_LosAngeles_MID5_GSV1_33.7664954732648,-118.163674009128.jpg","52093176_LosAngeles_MID5_GSV2_33.7664954732648,-118.163674009128.jpg","52093176_LosAngeles_SAT5_33.7664954732648,-118.163674009128.jpg",N
846,191766_SanFrancisco,2,"191766_SanFrancisco_MID_GSV1_37.7714938702206,-122.40562399617.jpg","191766_SanFrancisco_MID_GSV2_37.7714938702206,-122.40562399617.jpg","191766_SanFrancisco_MID_SAT_37.7714938702206,-122.40562399617.jpg",N
1730,25430003_Philadelphia,2,"25430003_Philadelphia_MID97_GSV1_39.9348498786163,-75.1528076774512.jpg","25430003_Philadelphia_MID97_GSV2_39.9348498786163,-75.1528076774512.jpg","25430003_Philadelphia_SAT97_39.9348498786163,-75.1528076774512.jpg",N
1503,266861045_Houston,1,"266861045_Houston_MID2_GSV1_29.757256759566,-95.399767282709.jpg","266861045_Houston_MID2_GSV2_29.757256759566,-95.399767282709.jpg","266861045_Houston_SAT2_29.757256759566,-95.399767282709.jpg",N
1382,1116627792_Chicago,2,"1116627792_Chicago_MID2_GSV1_41.8851374710853,-87.7197069698174.jpg","1116627792_Chicago_MID2_GSV2_41.8851374710853,-87.7197069698174.jpg","1116627792_Chicago_SAT2_41.8851374710853,-87.7197069698174.jpg",N
1698,929330219_NewYork,2,"929330219_NewYork_MID2_GSV1_40.8723335109236,-73.8671340707641.jpg","929330219_NewYork_MID2_GSV2_40.8723335109236,-73.8671340707641.jpg","929330219_NewYork_SAT2_40.8723335109236,-73.8671340707641.jpg",N
427,98376_Dallas,1,"98376_Dallas_MID_GSV1_32.7265784999884,-96.8367804997948.jpg","98376_Dallas_MID_GSV2_32.7265784999884,-96.8367804997948.jpg","98376_Dallas_MID_SAT_32.7265784999884,-96.8367804997948.jpg",Y
559,126095_LosAngeles,0,"126095_LosAngeles_MID_GSV1_34.1352913245624,-118.147281780895.jpg","126095_LosAngeles_MID_GSV2_34.1352913245624,-118.147281780895.jpg","126095_LosAngeles_MID_SAT_34.1352913245624,-118.147281780895.jpg",N
1691,812978773_Denver,1,"812978773_Denver_MID2_GSV1_39.741676722247,-104.979929251211.jpg","812978773_Denver_MID2_GSV2_39.741676722247,-104.979929251211.jpg","812978773_Denver_SAT2_39.741676722247,-104.979929251211.jpg",N
806,184639_Miami,0,"184639_Miami_MID_GSV1_25.9252026499975,-80.2606841000444.jpg","184639_Miami_MID_GSV2_25.9252026499975,-80.2606841000444.jpg","184639_Miami_MID_SAT_25.9252026499975,-80.2606841000444.jpg",N
307,70220_Dallas,0,"70220_Dallas_MID_GSV1_32.8132416411695,-96.848048657439.jpg","70220_Dallas_MID_GSV2_32.8132416411695,-96.848048657439.jpg","70220_Dallas_MID_SAT_32.8132416411695,-96.848048657439.jpg",N
939,214124_LosAngeles,0,"214124_LosAngeles_MID_GSV1_34.4201693120845,-118.502354266694.jpg","214124_LosAngeles_MID_GSV2_34.4201693120845,-118.502354266694.jpg","214124_LosAngeles_MID_SAT_34.4201693120845,-118.502354266694.jpg",N
989,223671_Sacramento,0,"223671_Sacramento_MID_GSV1_38.1009563793444,-121.274119212144.jpg","223671_Sacramento_MID_GSV2_38.1009563793444,-121.274119212144.jpg","223671_Sacramento_MID_SAT_38.1009563793444,-121.274119212144.jpg",N
1662,630677037_NewYork,2,"630677037_NewYork_MID2_GSV1_40.6940741577875,-73.9872024598963.jpg","630677037_NewYork_MID2_GSV2_40.6940741577875,-73.9872024598963.jpg","630677037_NewYork_SAT2_40.6940741577875,-73.9872024598963.jpg",N
1568,421844018_Chicago,2,"421844018_Chicago_MID4_GSV1_41.9148752469066,-87.6843794813692.jpg","421844018_Chicago_MID4_GSV2_41.9148752469066,-87.6843794813692.jpg","421844018_Chicago_SAT4_41.9148752469066,-87.6843794813692.jpg",Y
82,18626_Denver,1,"18626_Denver_MID_GSV1_39.7003771016071,-105.038526300544.jpg","18626_Denver_MID_GSV2_39.7003771016071,-105.038526300544.jpg","18626_Denver_MID_SAT_39.7003771016071,-105.038526300544.jpg",Y
1573,423493106_Houston,2,"423493106_Houston_MID2_GSV1_29.7263303476211,-95.3165382453961.jpg","423493106_Houston_MID2_GSV2_29.7263303476211,-95.3165382453961.jpg","423493106_Houston_SAT2_29.7263303476211,-95.3165382453961.jpg",N
1361,1009024059_Denver,2,"1009024059_Denver_MID3_GSV1_39.685716487028,-104.797626891552.jpg","1009024059_Denver_MID3_GSV2_39.685716487028,-104.797626891552.jpg","1009024059_Denver_SAT3_39.685716487028,-104.797626891552.jpg",N
1408,1260443991_Chicago,2,"1260443991_Chicago_MID3_GSV1_41.8915705718527,-87.6897467187037.jpg","1260443991_Chicago_MID3_GSV2_41.8915705718527,-87.6897467187037.jpg","1260443991_Chicago_SAT3_41.8915705718527,-87.6897467187037.jpg",Y
1748,8646628_Boston,2,"8646628_Boston_MID91_GSV1_42.3438914,-71.0894393.jpg","8646628_Boston_MID91_GSV2_42.3438914,-71.0894393.jpg","8646628_Boston_SAT91_42.3438914,-71.0894393.jpg",N
1075,241337_Charlotte,0,"241337_Charlotte_MID_GSV1_35.1225075836236,-80.9442939283046.jpg","241337_Charlotte_MID_GSV2_35.1225075836236,-80.9442939283046.jpg","241337_Charlotte_MID_SAT_35.1225075836236,-80.9442939283046.jpg",N
1917,9808_Atlanta,2,9808_Atlanta_MID_GSV1_33.75464_-84.404141_269.jpg,9808_Atlanta_MID_GSV2_33.75464_-84.404141_89.jpg,9808_Atlanta_SAT_33.7546_-84.4041.jpg,N
1701,98669895_Houston,2,"98669895_Houston_MID5_GSV1_29.7340243714809,-95.3411760954183.jpg","98669895_Houston_MID5_GSV2_29.7340243714809,-95.3411760954183.jpg","98669895_Houston_SAT5_29.7340243714809,-95.3411760954183.jpg",N
57,11997_Houston,0,"11997_Houston_MID_GSV1_29.7701978001432,-95.2142866500837.jpg","11997_Houston_MID_GSV2_29.7701978001432,-95.2142866500837.jpg","11997_Houston_MID_SAT_29.7701978001432,-95.2142866500837.jpg",N
1666,649545811_Sacramento,2,"649545811_Sacramento_MID16_GSV1_38.5510618500307,-121.551398160059.jpg","649545811_Sacramento_MID16_GSV2_38.5510618500307,-121.551398160059.jpg","649545811_Sacramento_SAT16_38.5510618500307,-121.551398160059.jpg",N
1743,8636133_Boston,2,"8636133_Boston_MID94_GSV1_42.3435867189896,-71.072354788624.jpg","8636133_Boston_MID94_GSV2_42.3435867189896,-71.072354788624.jpg","8636133_Boston_SAT94_42.3435867189896,-71.072354788624.jpg",N
1624,52093176_LosAngeles,2,"52093176_LosAngeles_MID5_GSV1_33.7664954732648,-118.163674009128.jpg","52093176_LosAngeles_MID5_GSV2_33.7664954732648,-118.163674009128.jpg","52093176_LosAngeles_SAT5_33.7664954732648,-118.163674009128.jpg",N
1624,52093176_LosAngeles,2,"52093176_LosAngeles_MID5_GSV1_33.7664954732648,-118.163674009128.jpg","52093176_LosAngeles_MID5_GSV2_33.7664954732648,-118.163674009128.jpg","52093176_LosAngeles_SAT5_33.7664954732648,-118.163674009128.jpg",N
930,212589_LosAngeles,1,"212589_LosAngeles_MID_GSV1_34.0744090664219,-118.25221104651.jpg","212589_LosAngeles_MID_GSV2_34.0744090664219,-118.25221104651.jpg","212589_LosAngeles_MID_SAT_34.0744090664219,-118.25221104651.jpg",N
854,194280_SaltLake,0,"194280_SaltLake_MID_GSV1_40.855472300047,-111.873991000025.jpg","194280_SaltLake_MID_GSV2_40.855472300047,-111.873991000025.jpg","194280_SaltLake_MID_SAT_40.855472300047,-111.873991000025.jpg",N
435,100883_Phoenix,1,"100883_Phoenix_MID_GSV1_33.6023020998147,-111.874032899018.jpg","100883_Phoenix_MID_GSV2_33.6023020998147,-111.874032899018.jpg","100883_Phoenix_MID_SAT_33.6023020998147,-111.874032899018.jpg",N
122,26868_Portland,0,"26868_Portland_MID_GSV1_45.4821433996183,-122.523581048885.jpg","26868_Portland_MID_GSV2_45.4821433996183,-122.523581048885.jpg","26868_Portland_MID_SAT_45.4821433996183,-122.523581048885.jpg",N
234,54057_Miami,0,"54057_Miami_MID_GSV1_25.8604206,-80.2666050001862.jpg","54057_Miami_MID_GSV2_25.8604206,-80.2666050001862.jpg","54057_Miami_MID_SAT_25.8604206,-80.2666050001862.jpg",N
394,91565_Miami,0,"91565_Miami_MID_GSV1_25.8025364081663,-80.1264205020677.jpg","91565_Miami_MID_GSV2_25.8025364081663,-80.1264205020677.jpg","91565_Miami_MID_SAT_25.8025364081663,-80.1264205020677.jpg",N
1745,8636133_Boston,2,"8636133_Boston_MID97_GSV1_42.3440668880574,-71.0714727247225.jpg","8636133_Boston_MID97_GSV2_42.3440668880574,-71.0714727247225.jpg","8636133_Boston_SAT97_42.3440668880574,-71.0714727247225.jpg",N
1726,25430003_Philadelphia,2,"25430003_Philadelphia_MID921_GSV1_39.9361042286038,-75.1574804060702.jpg","25430003_Philadelphia_MID921_GSV2_39.9361042286038,-75.1574804060702.jpg","25430003_Philadelphia_SAT921_39.9361042286038,-75.1574804060702.jpg",N
1557,398255488_LosAngeles,2,"398255488_LosAngeles_MID3_GSV1_33.8688969078874,-118.177341992009.jpg","398255488_LosAngeles_MID3_GSV2_33.8688969078874,-118.177341992009.jpg","398255488_LosAngeles_SAT3_33.8688969078874,-118.177341992009.jpg",N
1412,127681476_Minneapolis,1,"127681476_Minneapolis_MID2_GSV1_44.9680011690933,-93.2716160560073.jpg","127681476_Minneapolis_MID2_GSV2_44.9680011690933,-93.2716160560073.jpg","127681476_Minneapolis_SAT2_44.9680011690933,-93.2716160560073.jpg",N
1724,25430003_Philadelphia,2,"25430003_Philadelphia_MID916_GSV1_39.9356564249759,-75.1558115457955.jpg","25430003_Philadelphia_MID916_GSV2_39.9356564249759,-75.1558115457955.jpg","25430003_Philadelphia_SAT916_39.9356564249759,-75.1558115457955.jpg",N
1642,578810329_LosAngeles,2,"578810329_LosAngeles_MID2_GSV1_33.7678562112219,-118.172184342519.jpg","578810329_LosAngeles_MID2_GSV2_33.7678562112219,-118.172184342519.jpg","578810329_LosAngeles_SAT2_33.7678562112219,-118.172184342519.jpg",N
1622,52093176_LosAngeles,2,"52093176_LosAngeles_MID2_GSV1_33.7671493063059,-118.166837705523.jpg","52093176_LosAngeles_MID2_GSV2_33.7671493063059,-118.166837705523.jpg","52093176_LosAngeles_SAT2_33.7671493063059,-118.166837705523.jpg",N
1120,250195_Phoenix,1,"250195_Phoenix_MID_GSV1_33.4225651406402,-111.940073794915.jpg","250195_Phoenix_MID_GSV2_33.4225651406402,-111.940073794915.jpg","250195_Phoenix_MID_SAT_33.4225651406402,-111.940073794915.jpg",N
